,CompanyName,CIN_Number,gst
143,SRI DHANALAKSHMI COTTON AND RICE MILLS PRIVATE LIMITED - Sri Dhanalakshmi Cotton and Rice Mills,U18100AP1977PTC002187,36AADCS1244G1ZM
144,SIVA SWATI TEXTILE PRIVATE LIMITED   ,U17300AP2005PTC045340,37AAICS7570G1ZY
145,SAKKU SPINNING MILLS PRIVATE LIMITED   ,U18100AP2006PTC048959,37AAJCS6186M1ZI
146,APACHE FOOTWEAR INDIA PVT LTD - APACHE FOOTWEAR,U19202AP2006PTC049219,37AAFCA6140B1Z5
147,RAVALI SPINNERS PRIVATE LIMITED   ,U18100AP2005PTC046237,37AADCR0675A1ZO
148,MOHAN SPINTEX INDIA LIMITED - Mohan,U18100AP2005PLC046188,37AAECM2744G1ZI
149,SREE RAMACHANDRA PAPER BOARDS LIMITED   ,U21012AP1996PLC022835,37AAHCS6041D1ZH
150,NANDI VARDHANA TEXTILE MILLS LIMITED   ,U18101AP2005PLC046546,37AACCN1423H1ZR
151,VISWATEJA SPINNING MILLS PRIVATE LIMITED   ,U18101AP2004PTC043449,37AABCV8759M1ZG
152,BALA BALAJEE TEXTILES LIMITED   ,U18101AP2004PLC044008,37AACCB5191L1ZD
153,POLISETTY SOMASUNDARAM TOBACCO THRESHERS PRIVATE LIMITED  ,U16001AP1992PTC013864,37AABCP3549D1ZJ
154,BOMMIDALA ENTERPRISES PRIVATE LIMITED   ,U16000AP1996PTC024340,36AAACB9064G1ZO
155,DEEPAKNEXGEN FEEDS PRIVATE LIMITED - Nexgen Feeds,U15549AP2010PTC068991,37AADCD4872B1ZT
156,GALLA FOODS LIMITED   ,U15134AP2004PLC042852,37AAICR4115N2Z0
157,SRI VARSHA FOOD PRODUCTS INDIA LIMITED   ,U15132AP2008PLC061664,37AAMCS4995H1ZL
158,GLOBAL FARM FRESH PRIVATE LIMITED   ,U15132AP2010PTC071881,37AAECG0624R1ZA
159,DELTA SUGARS LIMITED   ,U15429AP2001PLC037177,37AABCD3617J1ZP
160,NSL TEXTILES LIMITED - Nsl Textiles,U15429AP2002PLC038489,36AABCJ1299A1ZU
161,SUDALAGUNTA SUGARS LIMITED   ,U15424AP1994PLC018279,37AACCS8274R1ZE
162,LAILA SUGARS PRIVATE LIMITED - LAILA SUGARS,U15422AP2009PTC065156,29AABCL6654K1Z1
163,SNJ SUGARS AND PRODUCTS LIMITED   ,U15421AP1994PLC019013,37AAECS1680D1ZH
164,VAYHAN COFFEE LIMITED   ,U15492AP2005PLC048531,37AABCL1669G1ZG
165,TWILLS CLOTHING PRIVATE LIMITED   ,U17299AP2007PTC054270,36AACCT6776F1Z1
166,GOWTHAMI SOLVENT OILS LIMITED - Gowthami Solvent Oils,U15140AP1974PLC001699,37AAACT6359A1ZG
167,NAVYA FOODS PRIVATE LIMITED - NAVYA,U15500AP2009PTC064651,37AADCN0614M1ZG
